,0
2CRSI.PA,51
AB.PA,15
ABCA.PA,1
ABEO.PA,75
ABNX.PA,12
ABVX.PA,22
ACAN.PA,76
AC.PA,147
EOS.PA,44
ATI.PA,39
ALDV.PA,18
ADOC.PA,57
ADP.PA,3
AI.PA,62
AIR.PA,147
AKW.PA,86
ALD.PA,154
CDA.PA,114
ALO.PA,128
LTA.PA,1
ALTA.PA,53
ATE.PA,41
ALTUR.PA,1
AMPLI.PA,112
AMUN.PA,2
ARG.PA,53
AKE.PA,2
PRC.PA,27
ASY.PA,105
ATEME.PA,61
ATO.PA,13
AUB.PA,133
AURE.PA,80
AURS.PA,73
AVT.PA,8
CS.PA,3
AXW.PA,1
BALYO.PA,43
BLC.PA,131
BEN.PA,103
BB.PA,1
BIG.PA,60
BIM.PA,115
BNP.PA,109
BOI.PA,143
BOL.PA,3
BON.PA,141
BSD.PA,1
EN.PA,3
BVI.PA,62
CAP.PA,41
CARM.PA,153
CA.PA,1
CO.PA,78
CATG.PA,102
CTRG.PA,138
CBOT.PA,1
CGM.PA,97
CGG.PA,19
CRI.PA,124
CDI.PA,146
CLA.PA,40
COFA.PA,161
COH.PA,74
COV.PA,53
COVH.PA,1
CRBP2.PA,1
CNF.PA,1
ACA.PA,109
SX.PA,119
BN.PA,1
AM.PA,99
DSY.PA,41
DBV.PA,31
DBG.PA,157
EDEN.PA,62
EDF.PA,89
FGR.PA,3
EKI.PA,145
ELIOR.PA,23
ELIS.PA,3
ERA.PA,45
ERYP.PA,10
ESI.PA,1
EL.PA,17
ES.PA,6
RF.PA,62
EUR.PA,1
ERF.PA,115
ETL.PA,148
EGR.PA,77
EO.PA,20
FALG.PA,46
FGA.PA,122
FIPP.PA,36
FNAC.PA,62
GFC.PA,53
GNRO.PA,52
GNFT.PA,67
GV.PA,4
SIGHT.PA,14
GET.PA,3
GLO.PA,82
CEN.PA,1
GOE.PA,90
SFPI.PA,84
GTT.PA,151
GBT.PA,117
GUI.PA,48
PIG.PA,116
RMS.PA,146
HEXA.PA,123
HCO.PA,1
HOLN.PA,3
ICAD.PA,53
NK.PA,3
INF.PA,1
IPH.PA,32
ITP.PA,150
IVA.PA,33
IPN.PA,126
IPS.PA,62
JBOG.PA,113
JCQ.PA,87
DEC.PA,107
KOF.PA,142
KER.PA,146
LI.PA,153
KORI.PA,95
MMB.PA,130
LAT.PA,56
LSS.PA,134
LR.PA,62
LIN.PA,1
FII.PA,140
LNA.PA,127
OR.PA,17
LBIRD.PA,96
MC.PA,146
LYS.PA,9
MDM.PA,91
MTU.PA,98
MKEA.PA,24
MAU.PA,26
MBWS.PA,66
MCPHY.PA,16
MEMS.PA,69
MERY.PA,153
MRN.PA,2
METEX.PA,35
MMT.PA,101
ML.PA,3
NANO.PA,38
NRO.PA,144
NEX.PA,139
NXI.PA,142
NHOA.PA,72
COX.PA,93
NOKIA.PA,62
NRG.PA,1
SBT.PA,1
OLG.PA,1
ORA.PA,1
ORAP.PA,54
OREGE.PA,21
ORP.PA,11
OSE.PA,29
PARRO.PA,49
PSAT.PA,83
RI.PA,17
PEUG.PA,2
VAC.PA,25
PVL.PA,111
POM.PA,70
POXEL.PA,30
PROAC.PA,7
PWG.PA,58
PUB.PA,3
QDT.PA,159
RAL.PA,47
RX.PA,1
RCO.PA,17
RNO.PA,152
RXL.PA,2
ROTH.PA,3
RUI.PA,155
SK.PA,129
SAF.PA,147
SAN.PA,1
DIM.PA,71
SLB.PA,106
SU.PA,41
SCR.PA,156
SCHP.PA,136
SEFER.PA,65
SESG.PA,125
SESL.PA,50
SRP.PA,42
SII.PA,100
SMCP.PA,94
GLE.PA,109
SW.PA,158
SOI.PA,120
LOCAL.PA,28
S30.PA,34
SO.PA,62
SOP.PA,41
SPIE.PA,3
SQI.PA,1
DPT.PA,1
STM.PA,120
SWP.PA,149
SDG.PA,137
TKTT.PA,104
TEP.PA,62
TFI.PA,101
TFF.PA,79
HO.PA,99
THEP.PA,118
TKO.PA,160
TOUP.PA,135
TNG.PA,81
TRI.PA,108
UBI.PA,0
UFF.PA,1
FPG.PA,132
FR.PA,70
VK.PA,37
VLA.PA,5
VIE.PA,3
VMX.PA,68
VCT.PA,3
VIL.PA,1
RIN.PA,1
DG.PA,3
VIRP.PA,85
VIV.PA,1
VLTSA.PA,64
WAVE.PA,88
MF.PA,62
WLN.PA,110
XFAB.PA,92
XIL.PA,121
ADUX.PA,55
AF.PA,63
ENGI.PA,3
ENX.PA,62
SGO.PA,2
TTE.PA,59
